"cond","SID","survey_name","item","value"
"other","s206","sharing_broad","3_sharing_broad","91"
"self","s207","sharing_broad","3_sharing_broad","50"
"self","s208","sharing_broad","3_sharing_broad","83"
"other","s210","sharing_broad","3_sharing_broad","28"
"self","s211","sharing_broad","3_sharing_broad","0"
"self","s212","sharing_broad","3_sharing_broad","62"
"other","s214","sharing_broad","3_sharing_broad","69"
"other","s215","sharing_broad","3_sharing_broad","75"
"other","s216","sharing_broad","3_sharing_broad","0"
"self","s217","sharing_broad","3_sharing_broad","0"
"other","s218","sharing_broad","3_sharing_broad","51"
"self","s219","sharing_broad","3_sharing_broad","37"
"other","s222","sharing_broad","3_sharing_broad","45"
"self","s223","sharing_broad","3_sharing_broad","27"
"self","s224","sharing_broad","3_sharing_broad","1"
"other","s227","sharing_broad","3_sharing_broad","96"
"self","s230","sharing_broad","3_sharing_broad","48"
"self","s234","sharing_broad","3_sharing_broad","65"
"other","s235","sharing_broad","3_sharing_broad","89"
"other","s236","sharing_broad","3_sharing_broad","56"
"self","s237","sharing_broad","3_sharing_broad","58"
"self","s242","sharing_broad","3_sharing_broad","50"
"self","s243","sharing_broad","3_sharing_broad","50"
"other","s246","sharing_broad","3_sharing_broad","1"
"self","s248","sharing_broad","3_sharing_broad","87"
"other","s249","sharing_broad","3_sharing_broad","85"
"self","s250","sharing_broad","3_sharing_broad","92"
"other","s251","sharing_broad","3_sharing_broad","0"
"other","s255","sharing_broad","3_sharing_broad","0"
"other","s257","sharing_broad","3_sharing_broad","60"
"self","s258","sharing_broad","3_sharing_broad","100"
"other","s259","sharing_broad","3_sharing_broad","89"
"self","s260","sharing_broad","3_sharing_broad","5"
"other","s261","sharing_broad","3_sharing_broad","0"
"self","s262","sharing_broad","3_sharing_broad","99"
"other","s265","sharing_broad","3_sharing_broad","51"
"self","s268","sharing_broad","3_sharing_broad","100"
"other","s270","sharing_broad","3_sharing_broad","84"
"self","s273","sharing_broad","3_sharing_broad","64"
"other","s274","sharing_broad","3_sharing_broad","84"
"other","s275","sharing_broad","3_sharing_broad","19"
"self","s276","sharing_broad","3_sharing_broad","95"
"self","s277","sharing_broad","3_sharing_broad","100"
"self","s278","sharing_broad","3_sharing_broad","67"
"other","s279","sharing_broad","3_sharing_broad","83"
"self","s280","sharing_broad","3_sharing_broad","53"
"self","s281","sharing_broad","3_sharing_broad","50"
"other","s283","sharing_broad","3_sharing_broad","64"
"self","s287","sharing_broad","3_sharing_broad","7"
"self","s288","sharing_broad","3_sharing_broad","1"
"other","s292","sharing_broad","3_sharing_broad","2"
"other","s294","sharing_broad","3_sharing_broad","94"
"other","s295","sharing_broad","3_sharing_broad","13"
"self","s297","sharing_broad","3_sharing_broad","52"
"other","s299","sharing_broad","3_sharing_broad","100"
"other","s300","sharing_broad","3_sharing_broad","100"
"self","s301","sharing_broad","3_sharing_broad","1"
"other","s303","sharing_broad","3_sharing_broad","80"
"self","s305","sharing_broad","3_sharing_broad","0"
"other","s307","sharing_broad","3_sharing_broad","93"
"self","s308","sharing_broad","3_sharing_broad","71"
"self","s311","sharing_broad","3_sharing_broad","5"
"self","s313","sharing_broad","3_sharing_broad","3"
"self","s314","sharing_broad","3_sharing_broad","71"
"other","s316","sharing_broad","3_sharing_broad","0"
"self","s318","sharing_broad","3_sharing_broad","0"
"self","s319","sharing_broad","3_sharing_broad","84"
"self","s320","sharing_broad","3_sharing_broad","83"
"self","s321","sharing_broad","3_sharing_broad","73"
"other","s322","sharing_broad","3_sharing_broad","7"
"self","s324","sharing_broad","3_sharing_broad","1"
"other","s326","sharing_broad","3_sharing_broad","100"
"other","s327","sharing_broad","3_sharing_broad","12"
"other","s328","sharing_broad","3_sharing_broad","28"
"other","s329","sharing_broad","3_sharing_broad","0"
"self","s330","sharing_broad","3_sharing_broad","100"
"self","s331","sharing_broad","3_sharing_broad","56"
"other","s335","sharing_broad","3_sharing_broad","52"
"self","s337","sharing_broad","3_sharing_broad","0"
"other","s338","sharing_broad","3_sharing_broad","73"
"other","s344","sharing_broad","3_sharing_broad","68"
"self","s345","sharing_broad","3_sharing_broad","3"
"other","s348","sharing_broad","3_sharing_broad","85"
"other","s349","sharing_broad","3_sharing_broad","21"
"other","s352","sharing_broad","3_sharing_broad","88"
"other","s353","sharing_broad","3_sharing_broad","36"
"self","s358","sharing_broad","3_sharing_broad","48"
"self","s360","sharing_broad","3_sharing_broad","78"
"other","s361","sharing_broad","3_sharing_broad","0"
"other","s363","sharing_broad","3_sharing_broad","13"
"other","s364","sharing_broad","3_sharing_broad","65"
"self","s368","sharing_broad","3_sharing_broad","66"
"self","s371","sharing_broad","3_sharing_broad","0"
"other","s372","sharing_broad","3_sharing_broad","44"
"self","s373","sharing_broad","3_sharing_broad","52"
"self","s375","sharing_broad","3_sharing_broad","83"
"other","s380","sharing_broad","3_sharing_broad","0"
"other","s386","sharing_broad","3_sharing_broad","90"
"self","s387","sharing_broad","3_sharing_broad","3"
"other","s390","sharing_broad","3_sharing_broad","78"
"self","s394","sharing_broad","3_sharing_broad","64"
"other","s395","sharing_broad","3_sharing_broad","77"
"other","s396","sharing_broad","3_sharing_broad","100"
"other","s399","sharing_broad","3_sharing_broad","41"
"other","s400","sharing_broad","3_sharing_broad","66"
"self","s401","sharing_broad","3_sharing_broad","97"
"self","s402","sharing_broad","3_sharing_broad","89"
"other","s403","sharing_broad","3_sharing_broad","0"
"other","s406","sharing_broad","3_sharing_broad","46"
"self","s411","sharing_broad","3_sharing_broad","84"
"self","s412","sharing_broad","3_sharing_broad","43"
"self","s414","sharing_broad","3_sharing_broad","1"
"self","s415","sharing_broad","3_sharing_broad","65"
"self","s418","sharing_broad","3_sharing_broad","68"
"self","s419","sharing_broad","3_sharing_broad","8"
"other","s420","sharing_broad","3_sharing_broad","87"
"self","s421","sharing_broad","3_sharing_broad","79"
"self","s422","sharing_broad","3_sharing_broad","0"
"other","s423","sharing_broad","3_sharing_broad","13"
"self","s425","sharing_broad","3_sharing_broad","50"
"self","s432","sharing_broad","3_sharing_broad","12"
"self","s434","sharing_broad","3_sharing_broad","26"
"other","s435","sharing_broad","3_sharing_broad","61"
"other","s436","sharing_broad","3_sharing_broad","76"
"self","s437","sharing_broad","3_sharing_broad",NA
"self","s439","sharing_broad","3_sharing_broad","65"
"other","s442","sharing_broad","3_sharing_broad","76"
"self","s444","sharing_broad","3_sharing_broad","20"
"self","s445","sharing_broad","3_sharing_broad","69"
"self","s446","sharing_broad","3_sharing_broad","0"
"other","s448","sharing_broad","3_sharing_broad","54"
"self","s449","sharing_broad","3_sharing_broad","77"
"self","s450","sharing_broad","3_sharing_broad","0"
"other","s453","sharing_broad","3_sharing_broad","41"
"other","s454","sharing_broad","3_sharing_broad","64"
"self","s456","sharing_broad","3_sharing_broad","78"
"self","s457","sharing_broad","3_sharing_broad","1"
"other","s460","sharing_broad","3_sharing_broad","23"
"other","s462","sharing_broad","3_sharing_broad","21"
"other","s463","sharing_broad","3_sharing_broad","79"
"other","s466","sharing_broad","3_sharing_broad","73"
"other","s467","sharing_broad","3_sharing_broad","96"
"other","s470","sharing_broad","3_sharing_broad","10"
"self","s471","sharing_broad","3_sharing_broad","35"
"other","s473","sharing_broad","3_sharing_broad","74"
"self","s475","sharing_broad","3_sharing_broad","78"
"self","s478","sharing_broad","3_sharing_broad","73"
"other","s479","sharing_broad","3_sharing_broad","67"
"self","s481","sharing_broad","3_sharing_broad","86"
"self","s482","sharing_broad","3_sharing_broad","100"
"self","s483","sharing_broad","3_sharing_broad","0"
"other","s485","sharing_broad","3_sharing_broad","25"
"self","s487","sharing_broad","3_sharing_broad","63"
"other","s488","sharing_broad","3_sharing_broad","33"
"self","s490","sharing_broad","3_sharing_broad","26"
"other","s492","sharing_broad","3_sharing_broad","0"
"self","s493","sharing_broad","3_sharing_broad","11"
"other","s494","sharing_broad","3_sharing_broad","82"
"other","s495","sharing_broad","3_sharing_broad","76"
"self","s496","sharing_broad","3_sharing_broad","48"
"other","s497","sharing_broad","3_sharing_broad","5"
"other","s498","sharing_broad","3_sharing_broad","18"
"self","s499","sharing_broad","3_sharing_broad","70"
"other","s502","sharing_broad","3_sharing_broad","84"
"self","s504","sharing_broad","3_sharing_broad","21"
"other","s505","sharing_broad","3_sharing_broad","11"
"other","s506","sharing_broad","3_sharing_broad","94"
"self","s507","sharing_broad","3_sharing_broad","36"
"self","s512","sharing_broad","3_sharing_broad","0"
"other","s513","sharing_broad","3_sharing_broad","5"
"self","s514","sharing_broad","3_sharing_broad","1"
"self","s515","sharing_broad","3_sharing_broad","100"
"other","s516","sharing_broad","3_sharing_broad","47"
"other","s517","sharing_broad","3_sharing_broad","62"
"self","s520","sharing_broad","3_sharing_broad","100"
"self","s522","sharing_broad","3_sharing_broad","75"
"self","s526","sharing_broad","3_sharing_broad","71"
"self","s527","sharing_broad","3_sharing_broad","82"
"other","s529","sharing_broad","3_sharing_broad","34"
"self","s530","sharing_broad","3_sharing_broad","74"
"other","s531","sharing_broad","3_sharing_broad","23"
"self","s532","sharing_broad","3_sharing_broad","83"
"other","s533","sharing_broad","3_sharing_broad","5"
"self","s535","sharing_broad","3_sharing_broad","0"
"self","s537","sharing_broad","3_sharing_broad","13"
"self","s538","sharing_broad","3_sharing_broad","93"
"other","s540","sharing_broad","3_sharing_broad","21"
"other","s541","sharing_broad","3_sharing_broad","0"
"self","s543","sharing_broad","3_sharing_broad","4"
"self","s544","sharing_broad","3_sharing_broad","100"
"other","s545","sharing_broad","3_sharing_broad","100"
"other","s546","sharing_broad","3_sharing_broad","0"
"other","s547","sharing_broad","3_sharing_broad","47"
"other","s548","sharing_broad","3_sharing_broad","62"
"other","s551","sharing_broad","3_sharing_broad","57"
"other","s552","sharing_broad","3_sharing_broad","94"
"other","s553","sharing_broad","3_sharing_broad","0"
"other","s554","sharing_broad","3_sharing_broad","92"
"self","s555","sharing_broad","3_sharing_broad","80"
"other","s558","sharing_broad","3_sharing_broad","35"
"other","s559","sharing_broad","3_sharing_broad","53"
"self","s561","sharing_broad","3_sharing_broad","11"
"other","s563","sharing_broad","3_sharing_broad","63"
"other","s567","sharing_broad","3_sharing_broad","73"
"self","s568","sharing_broad","3_sharing_broad","100"
"other","s570","sharing_broad","3_sharing_broad","0"
"other","s571","sharing_broad","3_sharing_broad","4"
"self","s572","sharing_broad","3_sharing_broad","50"
"other","s574","sharing_broad","3_sharing_broad","11"
"other","s575","sharing_broad","3_sharing_broad","100"
"self","s576","sharing_broad","3_sharing_broad","37"
"self","s577","sharing_broad","3_sharing_broad","70"
"other","s578","sharing_broad","3_sharing_broad","0"
"other","s581","sharing_broad","3_sharing_broad","64"
"other","s582","sharing_broad","3_sharing_broad","45"
"self","s583","sharing_broad","3_sharing_broad","80"
"self","s584","sharing_broad","3_sharing_broad","65"
"self","s587","sharing_broad","3_sharing_broad","50"
"self","s588","sharing_broad","3_sharing_broad","35"
"self","s589","sharing_broad","3_sharing_broad","58"
"other","s592","sharing_broad","3_sharing_broad","25"
"other","s593","sharing_broad","3_sharing_broad","100"
"other","s594","sharing_broad","3_sharing_broad","52"
"self","s595","sharing_broad","3_sharing_broad","98"
"other","s598","sharing_broad","3_sharing_broad","48"
"other","s599","sharing_broad","3_sharing_broad","89"
"self","s600","sharing_broad","3_sharing_broad","28"
"other","s602","sharing_broad","3_sharing_broad","0"
"other","s606","sharing_broad","3_sharing_broad","43"
"self","s608","sharing_broad","3_sharing_broad","0"
"other","s610","sharing_broad","3_sharing_broad","40"
"other","s613","sharing_broad","3_sharing_broad","20"
"self","s615","sharing_broad","3_sharing_broad","100"
"self","s616","sharing_broad","3_sharing_broad","63"
"other","s618","sharing_broad","3_sharing_broad","42"
"self","s619","sharing_broad","3_sharing_broad","78"
"self","s620","sharing_broad","3_sharing_broad","82"
"self","s621","sharing_broad","3_sharing_broad","0"
"self","s622","sharing_broad","3_sharing_broad","77"
"other","s623","sharing_broad","3_sharing_broad","80"
"self","s624","sharing_broad","3_sharing_broad","31"
"other","s626","sharing_broad","3_sharing_broad","90"
"other","s627","sharing_broad","3_sharing_broad","0"
"self","s628","sharing_broad","3_sharing_broad","70"
"self","s629","sharing_broad","3_sharing_broad","53"
"self","s630","sharing_broad","3_sharing_broad","92"
"other","s631","sharing_broad","3_sharing_broad","0"
"other","s634","sharing_broad","3_sharing_broad","0"
"self","s635","sharing_broad","3_sharing_broad","59"
"self","s636","sharing_broad","3_sharing_broad","88"
"self","s638","sharing_broad","3_sharing_broad","62"
"other","s639","sharing_broad","3_sharing_broad","75"
"self","s640","sharing_broad","3_sharing_broad","67"
"self","s001","sharing_narrow","3_sharing_narrow","33"
"self","s002","sharing_narrow","3_sharing_narrow","58"
"other","s003","sharing_narrow","3_sharing_narrow","0"
"other","s004","sharing_narrow","3_sharing_narrow","69"
"other","s005","sharing_narrow","3_sharing_narrow","100"
"other","s008","sharing_narrow","3_sharing_narrow","26"
"self","s009","sharing_narrow","3_sharing_narrow","75"
"other","s010","sharing_narrow","3_sharing_narrow","0"
"other","s012","sharing_narrow","3_sharing_narrow","65"
"self","s014","sharing_narrow","3_sharing_narrow","90"
"other","s015","sharing_narrow","3_sharing_narrow","15"
"other","s017","sharing_narrow","3_sharing_narrow","50"
"other","s018","sharing_narrow","3_sharing_narrow","0"
"self","s019","sharing_narrow","3_sharing_narrow","90"
"self","s020","sharing_narrow","3_sharing_narrow","0"
"self","s021","sharing_narrow","3_sharing_narrow","0"
"other","s024","sharing_narrow","3_sharing_narrow","20"
"other","s025","sharing_narrow","3_sharing_narrow","94"
"other","s028","sharing_narrow","3_sharing_narrow","79"
"self","s030","sharing_narrow","3_sharing_narrow","64"
"other","s031","sharing_narrow","3_sharing_narrow","84"
"self","s032","sharing_narrow","3_sharing_narrow","100"
"self","s036","sharing_narrow","3_sharing_narrow","4"
"other","s037","sharing_narrow","3_sharing_narrow","77"
"other","s038","sharing_narrow","3_sharing_narrow","11"
"self","s040","sharing_narrow","3_sharing_narrow","61"
"other","s041","sharing_narrow","3_sharing_narrow","96"
"other","s042","sharing_narrow","3_sharing_narrow","97"
"self","s043","sharing_narrow","3_sharing_narrow","1"
"other","s045","sharing_narrow","3_sharing_narrow","10"
"self","s046","sharing_narrow","3_sharing_narrow","67"
"self","s048","sharing_narrow","3_sharing_narrow","87"
"other","s049","sharing_narrow","3_sharing_narrow","20"
"self","s051","sharing_narrow","3_sharing_narrow","96"
"self","s052","sharing_narrow","3_sharing_narrow","83"
"other","s053","sharing_narrow","3_sharing_narrow","78"
"self","s054","sharing_narrow","3_sharing_narrow","10"
"other","s055","sharing_narrow","3_sharing_narrow","22"
"self","s056","sharing_narrow","3_sharing_narrow","24"
"self","s057","sharing_narrow","3_sharing_narrow","0"
"self","s058","sharing_narrow","3_sharing_narrow","53"
"other","s062","sharing_narrow","3_sharing_narrow","51"
"self","s063","sharing_narrow","3_sharing_narrow","0"
"self","s064","sharing_narrow","3_sharing_narrow","39"
"other","s065","sharing_narrow","3_sharing_narrow","83"
"other","s066","sharing_narrow","3_sharing_narrow","80"
"self","s067","sharing_narrow","3_sharing_narrow","15"
"other","s068","sharing_narrow","3_sharing_narrow","1"
"self","s069","sharing_narrow","3_sharing_narrow","0"
"self","s070","sharing_narrow","3_sharing_narrow","76"
"other","s072","sharing_narrow","3_sharing_narrow","74"
"other","s073","sharing_narrow","3_sharing_narrow","0"
"other","s074","sharing_narrow","3_sharing_narrow","100"
"other","s075","sharing_narrow","3_sharing_narrow","76"
"self","s076","sharing_narrow","3_sharing_narrow","1"
"other","s078","sharing_narrow","3_sharing_narrow","58"
"other","s079","sharing_narrow","3_sharing_narrow","96"
"self","s080","sharing_narrow","3_sharing_narrow","24"
"other","s081","sharing_narrow","3_sharing_narrow","1"
"self","s082","sharing_narrow","3_sharing_narrow","79"
"other","s083","sharing_narrow","3_sharing_narrow","78"
"self","s084","sharing_narrow","3_sharing_narrow","0"
"other","s085","sharing_narrow","3_sharing_narrow","1"
"self","s086","sharing_narrow","3_sharing_narrow","0"
"self","s089","sharing_narrow","3_sharing_narrow","19"
"other","s090","sharing_narrow","3_sharing_narrow","89"
"other","s092","sharing_narrow","3_sharing_narrow","51"
"self","s093","sharing_narrow","3_sharing_narrow","41"
"self","s095","sharing_narrow","3_sharing_narrow","0"
"other","s097","sharing_narrow","3_sharing_narrow","56"
"other","s099","sharing_narrow","3_sharing_narrow","21"
"other","s100","sharing_narrow","3_sharing_narrow","36"
"self","s101","sharing_narrow","3_sharing_narrow","30"
"other","s103","sharing_narrow","3_sharing_narrow","28"
"self","s104","sharing_narrow","3_sharing_narrow","91"
"self","s106","sharing_narrow","3_sharing_narrow","0"
"other","s108","sharing_narrow","3_sharing_narrow","16"
"other","s110","sharing_narrow","3_sharing_narrow","18"
"self","s111","sharing_narrow","3_sharing_narrow","99"
"self","s112","sharing_narrow","3_sharing_narrow","100"
"self","s113","sharing_narrow","3_sharing_narrow","50"
"other","s114","sharing_narrow","3_sharing_narrow","43"
"other","s115","sharing_narrow","3_sharing_narrow","27"
"other","s116","sharing_narrow","3_sharing_narrow","71"
"other","s117","sharing_narrow","3_sharing_narrow","78"
"self","s118","sharing_narrow","3_sharing_narrow","23"
"self","s119","sharing_narrow","3_sharing_narrow","0"
"other","s120","sharing_narrow","3_sharing_narrow","1"
"self","s121","sharing_narrow","3_sharing_narrow","11"
"other","s122","sharing_narrow","3_sharing_narrow","51"
"other","s123","sharing_narrow","3_sharing_narrow","90"
"self","s124","sharing_narrow","3_sharing_narrow","17"
"other","s125","sharing_narrow","3_sharing_narrow","0"
"other","s126","sharing_narrow","3_sharing_narrow","89"
"self","s127","sharing_narrow","3_sharing_narrow","3"
"self","s130","sharing_narrow","3_sharing_narrow","14"
"self","s132","sharing_narrow","3_sharing_narrow","0"
"other","s133","sharing_narrow","3_sharing_narrow","37"
"other","s134","sharing_narrow","3_sharing_narrow","21"
"other","s136","sharing_narrow","3_sharing_narrow","26"
"other","s137","sharing_narrow","3_sharing_narrow","100"
"other","s139","sharing_narrow","3_sharing_narrow","90"
"other","s140","sharing_narrow","3_sharing_narrow","43"
"self","s141","sharing_narrow","3_sharing_narrow","13"
"self","s143","sharing_narrow","3_sharing_narrow","40"
"self","s145","sharing_narrow","3_sharing_narrow","51"
"self","s146","sharing_narrow","3_sharing_narrow","64"
"self","s147","sharing_narrow","3_sharing_narrow","58"
"self","s149","sharing_narrow","3_sharing_narrow","96"
"other","s150","sharing_narrow","3_sharing_narrow","64"
"self","s151","sharing_narrow","3_sharing_narrow","82"
"other","s153","sharing_narrow","3_sharing_narrow","53"
"self","s155","sharing_narrow","3_sharing_narrow","100"
"other","s156","sharing_narrow","3_sharing_narrow","0"
"self","s157","sharing_narrow","3_sharing_narrow","81"
"other","s159","sharing_narrow","3_sharing_narrow","70"
"self","s160","sharing_narrow","3_sharing_narrow","65"
"self","s161","sharing_narrow","3_sharing_narrow","75"
"other","s163","sharing_narrow","3_sharing_narrow","0"
"other","s166","sharing_narrow","3_sharing_narrow","92"
"self","s167","sharing_narrow","3_sharing_narrow","56"
"self","s168","sharing_narrow","3_sharing_narrow","20"
"other","s170","sharing_narrow","3_sharing_narrow","87"
"self","s172","sharing_narrow","3_sharing_narrow","1"
"other","s177","sharing_narrow","3_sharing_narrow","75"
"self","s178","sharing_narrow","3_sharing_narrow","0"
"self","s184","sharing_narrow","3_sharing_narrow","73"
"other","s185","sharing_narrow","3_sharing_narrow","0"
"self","s186","sharing_narrow","3_sharing_narrow","60"
"self","s187","sharing_narrow","3_sharing_narrow","57"
"other","s189","sharing_narrow","3_sharing_narrow","0"
"other","s191","sharing_narrow","3_sharing_narrow","35"
"self","s192","sharing_narrow","3_sharing_narrow","65"
"self","s193","sharing_narrow","3_sharing_narrow","54"
"self","s194","sharing_narrow","3_sharing_narrow","16"
"self","s195","sharing_narrow","3_sharing_narrow","0"
"self","s196","sharing_narrow","3_sharing_narrow","73"
"other","s197","sharing_narrow","3_sharing_narrow","27"
"self","s198","sharing_narrow","3_sharing_narrow","88"
"self","s200","sharing_narrow","3_sharing_narrow","81"
"other","s201","sharing_narrow","3_sharing_narrow","16"
"self","s202","sharing_narrow","3_sharing_narrow","45"
"other","s204","sharing_narrow","3_sharing_narrow","9"
"other","s205","sharing_narrow","3_sharing_narrow","67"
"other","s206","sharing_narrow","3_sharing_narrow","73"
"self","s207","sharing_narrow","3_sharing_narrow","49"
"self","s208","sharing_narrow","3_sharing_narrow","78"
"other","s210","sharing_narrow","3_sharing_narrow","75"
"self","s211","sharing_narrow","3_sharing_narrow","0"
"self","s212","sharing_narrow","3_sharing_narrow","56"
"other","s214","sharing_narrow","3_sharing_narrow","76"
"other","s215","sharing_narrow","3_sharing_narrow","75"
"other","s216","sharing_narrow","3_sharing_narrow","0"
"self","s217","sharing_narrow","3_sharing_narrow","0"
"other","s218","sharing_narrow","3_sharing_narrow","30"
"self","s219","sharing_narrow","3_sharing_narrow","57"
"other","s222","sharing_narrow","3_sharing_narrow","49"
"self","s223","sharing_narrow","3_sharing_narrow","62"
"self","s224","sharing_narrow","3_sharing_narrow","0"
"other","s227","sharing_narrow","3_sharing_narrow","99"
"self","s230","sharing_narrow","3_sharing_narrow","48"
"self","s234","sharing_narrow","3_sharing_narrow","65"
"other","s235","sharing_narrow","3_sharing_narrow","74"
"other","s236","sharing_narrow","3_sharing_narrow","71"
"self","s237","sharing_narrow","3_sharing_narrow","40"
"self","s242","sharing_narrow","3_sharing_narrow","51"
"self","s243","sharing_narrow","3_sharing_narrow","85"
"other","s246","sharing_narrow","3_sharing_narrow","1"
"self","s248","sharing_narrow","3_sharing_narrow","61"
"other","s249","sharing_narrow","3_sharing_narrow","74"
"self","s250","sharing_narrow","3_sharing_narrow","90"
"other","s251","sharing_narrow","3_sharing_narrow","0"
"other","s255","sharing_narrow","3_sharing_narrow","0"
"other","s257","sharing_narrow","3_sharing_narrow","27"
"self","s258","sharing_narrow","3_sharing_narrow","100"
"other","s259","sharing_narrow","3_sharing_narrow","77"
"self","s260","sharing_narrow","3_sharing_narrow","19"
"other","s261","sharing_narrow","3_sharing_narrow","32"
"self","s262","sharing_narrow","3_sharing_narrow","100"
"other","s265","sharing_narrow","3_sharing_narrow","55"
"self","s268","sharing_narrow","3_sharing_narrow","100"
"other","s270","sharing_narrow","3_sharing_narrow","85"
"self","s273","sharing_narrow","3_sharing_narrow","27"
"other","s274","sharing_narrow","3_sharing_narrow","71"
"other","s275","sharing_narrow","3_sharing_narrow","7"
"self","s276","sharing_narrow","3_sharing_narrow","83"
"self","s277","sharing_narrow","3_sharing_narrow","100"
"self","s278","sharing_narrow","3_sharing_narrow","100"
"other","s279","sharing_narrow","3_sharing_narrow","74"
"self","s280","sharing_narrow","3_sharing_narrow","37"
"self","s281","sharing_narrow","3_sharing_narrow","61"
"other","s283","sharing_narrow","3_sharing_narrow","37"
"self","s287","sharing_narrow","3_sharing_narrow","9"
"self","s288","sharing_narrow","3_sharing_narrow","1"
"other","s292","sharing_narrow","3_sharing_narrow","62"
"other","s294","sharing_narrow","3_sharing_narrow","90"
"other","s295","sharing_narrow","3_sharing_narrow","15"
"self","s297","sharing_narrow","3_sharing_narrow","44"
"other","s299","sharing_narrow","3_sharing_narrow","100"
"other","s300","sharing_narrow","3_sharing_narrow","100"
"self","s301","sharing_narrow","3_sharing_narrow","1"
"other","s303","sharing_narrow","3_sharing_narrow","86"
"self","s305","sharing_narrow","3_sharing_narrow","75"
"other","s307","sharing_narrow","3_sharing_narrow","86"
"self","s308","sharing_narrow","3_sharing_narrow","62"
"self","s311","sharing_narrow","3_sharing_narrow","6"
"self","s313","sharing_narrow","3_sharing_narrow","3"
"self","s314","sharing_narrow","3_sharing_narrow","25"
"other","s316","sharing_narrow","3_sharing_narrow","32"
"self","s318","sharing_narrow","3_sharing_narrow","73"
"self","s319","sharing_narrow","3_sharing_narrow","69"
"self","s320","sharing_narrow","3_sharing_narrow","70"
"self","s321","sharing_narrow","3_sharing_narrow","75"
"other","s322","sharing_narrow","3_sharing_narrow","9"
"self","s324","sharing_narrow","3_sharing_narrow","2"
"other","s326","sharing_narrow","3_sharing_narrow","83"
"other","s327","sharing_narrow","3_sharing_narrow","45"
"other","s328","sharing_narrow","3_sharing_narrow","69"
"other","s329","sharing_narrow","3_sharing_narrow","54"
"self","s330","sharing_narrow","3_sharing_narrow","91"
"self","s331","sharing_narrow","3_sharing_narrow","68"
"other","s335","sharing_narrow","3_sharing_narrow","78"
"self","s337","sharing_narrow","3_sharing_narrow","0"
"other","s338","sharing_narrow","3_sharing_narrow","77"
"other","s344","sharing_narrow","3_sharing_narrow","61"
"self","s345","sharing_narrow","3_sharing_narrow","0"
"other","s348","sharing_narrow","3_sharing_narrow","87"
"other","s349","sharing_narrow","3_sharing_narrow","83"
"other","s352","sharing_narrow","3_sharing_narrow","87"
"other","s353","sharing_narrow","3_sharing_narrow","80"
"self","s358","sharing_narrow","3_sharing_narrow","26"
"self","s360","sharing_narrow","3_sharing_narrow","83"
"other","s361","sharing_narrow","3_sharing_narrow","0"
"other","s363","sharing_narrow","3_sharing_narrow","12"
"other","s364","sharing_narrow","3_sharing_narrow","50"
"self","s368","sharing_narrow","3_sharing_narrow","60"
"self","s371","sharing_narrow","3_sharing_narrow","0"
"other","s372","sharing_narrow","3_sharing_narrow","40"
"self","s373","sharing_narrow","3_sharing_narrow","39"
"self","s375","sharing_narrow","3_sharing_narrow","83"
"other","s380","sharing_narrow","3_sharing_narrow","0"
"other","s386","sharing_narrow","3_sharing_narrow","98"
"self","s387","sharing_narrow","3_sharing_narrow","0"
"other","s390","sharing_narrow","3_sharing_narrow","80"
"self","s394","sharing_narrow","3_sharing_narrow","56"
"other","s395","sharing_narrow","3_sharing_narrow","78"
"other","s396","sharing_narrow","3_sharing_narrow","100"
"other","s399","sharing_narrow","3_sharing_narrow","41"
"other","s400","sharing_narrow","3_sharing_narrow","92"
"self","s401","sharing_narrow","3_sharing_narrow","95"
"self","s402","sharing_narrow","3_sharing_narrow","86"
"other","s403","sharing_narrow","3_sharing_narrow","0"
"other","s406","sharing_narrow","3_sharing_narrow","30"
"self","s411","sharing_narrow","3_sharing_narrow","71"
"self","s412","sharing_narrow","3_sharing_narrow","56"
"self","s414","sharing_narrow","3_sharing_narrow","1"
"self","s415","sharing_narrow","3_sharing_narrow","30"
"self","s418","sharing_narrow","3_sharing_narrow","75"
"self","s419","sharing_narrow","3_sharing_narrow","12"
"other","s420","sharing_narrow","3_sharing_narrow","78"
"self","s421","sharing_narrow","3_sharing_narrow","92"
"self","s422","sharing_narrow","3_sharing_narrow","0"
"other","s423","sharing_narrow","3_sharing_narrow","55"
"self","s425","sharing_narrow","3_sharing_narrow","72"
"self","s432","sharing_narrow","3_sharing_narrow","13"
"self","s434","sharing_narrow","3_sharing_narrow","49"
"other","s435","sharing_narrow","3_sharing_narrow","74"
"other","s436","sharing_narrow","3_sharing_narrow","52"
"self","s437","sharing_narrow","3_sharing_narrow","54"
"self","s439","sharing_narrow","3_sharing_narrow","100"
"other","s442","sharing_narrow","3_sharing_narrow","88"
"self","s444","sharing_narrow","3_sharing_narrow","18"
"self","s445","sharing_narrow","3_sharing_narrow","82"
"self","s446","sharing_narrow","3_sharing_narrow","0"
"other","s448","sharing_narrow","3_sharing_narrow","100"
"self","s449","sharing_narrow","3_sharing_narrow","49"
"self","s450","sharing_narrow","3_sharing_narrow","0"
"other","s453","sharing_narrow","3_sharing_narrow","32"
"other","s454","sharing_narrow","3_sharing_narrow","27"
"self","s456","sharing_narrow","3_sharing_narrow","73"
"self","s457","sharing_narrow","3_sharing_narrow","1"
"other","s460","sharing_narrow","3_sharing_narrow","48"
"other","s462","sharing_narrow","3_sharing_narrow","14"
