"SID","study","item","value"
"study 6_s568","study 6","gender_4_TEXT",NA
"study 6_s570","study 6","gender_4_TEXT",NA
"study 6_s571","study 6","gender_4_TEXT",NA
"study 6_s572","study 6","gender_4_TEXT",NA
"study 6_s574","study 6","gender_4_TEXT",NA
"study 6_s575","study 6","gender_4_TEXT",NA
"study 6_s576","study 6","gender_4_TEXT",NA
"study 6_s577","study 6","gender_4_TEXT",NA
"study 6_s578","study 6","gender_4_TEXT",NA
"study 6_s581","study 6","gender_4_TEXT",NA
"study 6_s582","study 6","gender_4_TEXT",NA
"study 6_s583","study 6","gender_4_TEXT",NA
"study 6_s584","study 6","gender_4_TEXT",NA
"study 6_s587","study 6","gender_4_TEXT",NA
"study 6_s588","study 6","gender_4_TEXT",NA
"study 6_s589","study 6","gender_4_TEXT",NA
"study 6_s592","study 6","gender_4_TEXT",NA
"study 6_s593","study 6","gender_4_TEXT",NA
"study 6_s594","study 6","gender_4_TEXT",NA
"study 6_s595","study 6","gender_4_TEXT",NA
"study 6_s598","study 6","gender_4_TEXT",NA
"study 6_s599","study 6","gender_4_TEXT",NA
"study 6_s600","study 6","gender_4_TEXT",NA
"study 6_s602","study 6","gender_4_TEXT",NA
"study 6_s606","study 6","gender_4_TEXT",NA
"study 6_s608","study 6","gender_4_TEXT",NA
"study 6_s610","study 6","gender_4_TEXT",NA
"study 6_s613","study 6","gender_4_TEXT",NA
"study 6_s615","study 6","gender_4_TEXT",NA
"study 6_s616","study 6","gender_4_TEXT",NA
"study 6_s618","study 6","gender_4_TEXT",NA
"study 6_s619","study 6","gender_4_TEXT",NA
"study 6_s620","study 6","gender_4_TEXT",NA
"study 6_s621","study 6","gender_4_TEXT",NA
"study 6_s622","study 6","gender_4_TEXT",NA
"study 6_s623","study 6","gender_4_TEXT",NA
"study 6_s624","study 6","gender_4_TEXT",NA
"study 6_s626","study 6","gender_4_TEXT",NA
"study 6_s627","study 6","gender_4_TEXT",NA
"study 6_s628","study 6","gender_4_TEXT",NA
"study 6_s629","study 6","gender_4_TEXT",NA
"study 6_s630","study 6","gender_4_TEXT",NA
"study 6_s631","study 6","gender_4_TEXT",NA
"study 6_s634","study 6","gender_4_TEXT",NA
"study 6_s635","study 6","gender_4_TEXT",NA
"study 6_s636","study 6","gender_4_TEXT",NA
"study 6_s638","study 6","gender_4_TEXT",NA
"study 6_s639","study 6","gender_4_TEXT",NA
"study 6_s640","study 6","gender_4_TEXT",NA
"study 6_s001","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s002","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s003","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s004","study 6","highest degree completed","High school graduate (GED)"
"study 6_s005","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s008","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s009","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s010","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s012","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s014","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s015","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s017","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s018","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s019","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s020","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s021","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s024","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s025","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s028","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s030","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s031","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s032","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s036","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s037","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s038","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s040","study 6","highest degree completed","High school graduate (GED)"
"study 6_s041","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s042","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s043","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s045","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s046","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s048","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s049","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s051","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s052","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s053","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s054","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s055","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s056","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s057","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s058","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s062","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s063","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s064","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s065","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s066","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s067","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s068","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s069","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s070","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s072","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s073","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s074","study 6","highest degree completed","High school graduate (GED)"
"study 6_s075","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s076","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s078","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s079","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s080","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s081","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s082","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s083","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s084","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s085","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s086","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s089","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s090","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s092","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s093","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s095","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s097","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s099","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s100","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s101","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s103","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s104","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s106","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s108","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s110","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s111","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s112","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s113","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s114","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s115","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s116","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s117","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s118","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s119","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s120","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s121","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s122","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s123","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s124","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s125","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s126","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s127","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s130","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s132","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s133","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s134","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s136","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s137","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s139","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s140","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s141","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s143","study 6","highest degree completed","High school graduate (GED)"
"study 6_s145","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s146","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s147","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s149","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s150","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s151","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s153","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s155","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s156","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s157","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s159","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s160","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s161","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s163","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s166","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s167","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s168","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s170","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s172","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s177","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s178","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s184","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s185","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s186","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s187","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s189","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s191","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s192","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s193","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s194","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s195","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s196","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s197","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s198","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s200","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s201","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s202","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s204","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s205","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s206","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s207","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s208","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s210","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s211","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s212","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s214","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s215","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s216","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s217","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s218","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s219","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s222","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s223","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s224","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s227","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s230","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s234","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s235","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s236","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s237","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s242","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s243","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s246","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s248","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s249","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s250","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s251","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s255","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s257","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s258","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s259","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s260","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s261","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s262","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s265","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s268","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s270","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s273","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s274","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s275","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s276","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s277","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s278","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s279","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s280","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s281","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s283","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s287","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s288","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s292","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s294","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s295","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s297","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s299","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s300","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s301","study 6","highest degree completed","High school graduate (GED)"
"study 6_s303","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s305","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s307","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s308","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s311","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s313","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s314","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s316","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s318","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s319","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s320","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s321","study 6","highest degree completed","High school graduate (GED)"
"study 6_s322","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s324","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s326","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s327","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s328","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s329","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s330","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s331","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s335","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s337","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s338","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s344","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s345","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s348","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s349","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s352","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s353","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s358","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s360","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s361","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s363","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s364","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s368","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s371","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s372","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s373","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s375","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s380","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s386","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s387","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s390","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s394","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s395","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s396","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s399","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s400","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s401","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s402","study 6","highest degree completed","High school graduate (GED)"
"study 6_s403","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s406","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s411","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s412","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s414","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s415","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s418","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s419","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s420","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s421","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s422","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s423","study 6","highest degree completed","High school graduate (GED)"
"study 6_s425","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s432","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s434","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s435","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s436","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s437","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s439","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s442","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s444","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s445","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s446","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s448","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s449","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s450","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s453","study 6","highest degree completed","Professional school degree (MD, DDC, JD, etc)"
"study 6_s454","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s456","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s457","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s460","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s462","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s463","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s466","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s467","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s470","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s471","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s473","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s475","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s478","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s479","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s481","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s482","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s483","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s485","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s487","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s488","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s490","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s492","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s493","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s494","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s495","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s496","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s497","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s498","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s499","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s502","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s504","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s505","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s506","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s507","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s512","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s513","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s514","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s515","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s516","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s517","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s520","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s522","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s526","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s527","study 6","highest degree completed","Some college (1-4 years, no degree)"
"study 6_s529","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s530","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s531","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s532","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s533","study 6","highest degree completed","Associate's degree (including occupational or academic degrees)"
"study 6_s535","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s537","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s538","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s540","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s541","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s543","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s544","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
"study 6_s545","study 6","highest degree completed","High school graduate (diploma)"
"study 6_s546","study 6","highest degree completed","Master's degree (MA, MS, MENG, MSW, etc)"
"study 6_s547","study 6","highest degree completed","Bachelor's degree (BA, BS, etc)"
